critical,high,medium,low,pattern_count,hash_match,extension_mismatch,file_size,macro_detected,pdf_js,embedded_file,packer_detected,suspicious_imports,yara_matches,label
0,0,3,1,1,0,1,1951.5259428385918,0,0,0,0,0,3,0
1,1,0,6,1,0,1,878.3705365591625,0,0,0,0,0,4,0
1,0,3,2,0,0,0,1545.2620898025793,0,0,0,0,0,2,0
5,3,6,2,8,0,1,2856.2000596960193,0,0,0,1,1,17,1
0,2,1,5,2,0,1,1926.6131416756066,0,0,0,0,0,0,0
2,1,4,4,11,0,1,4106.946241224471,1,0,0,0,1,7,1
2,2,7,1,5,0,1,309.1318910730332,1,1,0,1,1,10,1
3,4,3,4,10,0,1,2745.962617668084,0,1,1,1,0,20,1
1,1,0,2,0,0,1,817.9568462304902,0,0,0,0,0,3,0
0,2,1,4,2,0,1,925.943462938781,0,0,0,0,0,1,0
4,5,5,4,20,1,1,1540.9367238930397,0,0,1,0,1,8,1
1,0,0,6,0,0,1,2765.0577758077666,0,0,0,0,0,2,0
0,0,2,1,0,0,0,1829.0972589460955,0,0,0,0,0,3,0
1,2,2,1,0,0,0,1067.840674757108,0,0,0,0,0,2,0
5,4,7,1,18,1,0,1365.6383123636533,0,0,1,1,0,14,1
5,6,8,0,7,1,0,3928.5310128980063,1,1,1,0,0,6,1
0,4,3,3,9,1,0,4389.716458850605,0,1,0,0,0,14,1
1,2,3,1,3,0,1,2106.869272675539,0,0,0,0,0,0,0
0,4,4,0,12,1,1,2249.4965837775135,1,1,1,1,1,9,1
5,5,8,4,12,0,1,227.3721403248286,0,1,1,1,0,5,1
1,0,1,2,4,0,0,2704.9769448124175,0,0,0,0,0,2,0
1,1,3,1,4,0,0,457.32271099727984,0,0,0,0,0,4,0
1,2,3,1,1,0,1,467.2538791040261,0,0,0,0,0,4,0
0,0,0,6,2,0,0,1003.5791773715606,0,0,0,0,0,3,0
0,0,0,3,0,0,1,825.0492090891423,0,0,0,0,0,1,0
3,4,3,1,11,1,0,2675.376522520294,1,0,1,0,1,7,1
0,0,2,5,0,0,0,2506.207237554063,0,0,0,0,0,3,0
2,1,2,1,8,0,0,4035.4514166479003,0,0,1,0,0,9,1
0,1,2,4,2,0,0,2227.688903019723,0,0,0,0,0,1,0
1,0,2,4,2,0,1,2583.058712311968,0,0,0,0,0,2,0
3,5,8,2,6,1,0,177.84623410633543,0,1,0,0,0,20,1
1,5,8,2,18,1,1,3081.252855125218,1,1,0,1,0,18,1
1,1,0,2,4,0,0,455.40249391727343,0,0,0,0,0,3,0
5,6,3,3,13,1,0,474.6833056182225,1,0,0,1,0,6,1
1,2,2,1,4,0,1,1263.3128918083762,0,0,0,0,0,0,0
0,0,3,4,0,0,1,346.598534567475,0,0,0,0,0,0,0
3,3,5,3,8,0,1,746.820923961874,0,0,0,0,0,10,1
0,2,1,4,1,0,0,514.2365115853701,0,0,0,0,0,0,0
0,2,2,4,3,0,1,396.54917296086063,0,0,0,0,0,2,0
4,6,2,2,11,0,1,514.9929925514953,0,1,0,1,0,10,1
1,1,2,1,1,0,1,2712.2948837017543,0,0,0,0,0,2,0
2,5,5,0,17,0,1,2851.066451381869,1,1,0,1,1,11,1
1,1,0,5,1,0,1,738.9255980160777,0,0,0,0,0,1,0
5,5,7,4,20,0,0,4854.042592367115,1,0,0,0,0,7,1
1,2,4,2,12,1,0,393.9722068886888,0,1,1,0,0,20,1
4,2,6,1,16,1,1,1659.593474355492,1,1,1,0,1,11,1
4,3,3,3,5,0,1,2682.8061767073254,0,1,0,0,1,16,1
2,1,7,2,17,0,0,2293.2341401498456,1,1,0,0,1,12,1
0,1,3,4,2,0,0,1989.9102523297884,0,0,0,0,0,3,0
3,1,6,4,9,0,1,2492.090588229657,1,0,0,0,0,5,1
1,1,0,4,0,0,0,1954.9446609281647,0,0,0,0,0,2,0
1,0,2,5,0,0,0,452.46601845113065,0,0,0,0,0,2,0
0,0,0,2,3,0,0,336.230093061041,0,0,0,0,0,2,0
1,1,3,4,1,0,1,2517.4745475392397,0,0,0,0,0,3,0
0,2,0,4,4,0,1,2614.7540062512912,0,0,0,0,0,2,0
0,1,0,2,2,0,1,80.80137104340231,0,0,0,0,0,4,0
0,2,3,5,1,0,0,418.85006248602775,0,0,0,0,0,0,0
1,1,0,4,3,0,0,186.5505092025239,0,0,0,0,0,3,0
0,1,1,5,1,0,0,338.30757963452515,0,0,0,0,0,4,0
1,0,1,6,4,0,1,2018.2618527161635,0,0,0,0,0,1,0
3,6,3,3,17,0,0,947.613795334953,1,1,1,1,0,13,1
0,0,2,4,3,0,1,2005.0529929143072,0,0,0,0,0,1,0
0,4,5,4,8,1,0,1015.3279593818127,0,0,0,1,1,19,1
0,6,6,3,20,1,1,921.0852446922622,0,0,1,0,1,6,1
4,2,8,4,6,0,0,1623.8121058715483,0,1,0,1,1,6,1
0,0,3,5,3,0,0,1804.9341456111645,0,0,0,0,0,1,0
2,3,4,1,16,0,1,444.44226454406726,1,0,1,1,0,5,1
5,2,8,3,8,1,1,4559.716231533876,1,0,1,1,1,19,1
0,2,2,1,3,0,0,1733.4676802230174,0,0,0,0,0,2,0
1,1,3,1,2,0,0,702.1273278112365,0,0,0,0,0,1,0
1,0,1,5,1,0,0,2627.083620087526,0,0,0,0,0,1,0
0,2,8,0,18,0,0,3475.4291213060465,0,0,1,0,0,18,1
5,4,3,4,13,0,1,2174.339494590053,1,0,0,1,0,13,1
1,0,1,1,3,0,0,1223.1219163939365,0,0,0,0,0,3,0
5,3,6,3,13,1,1,2867.9836597905332,0,1,1,1,1,16,1
1,5,8,3,15,1,0,4829.474205284986,0,0,0,1,0,11,1
1,1,1,2,0,0,0,1045.300850573404,0,0,0,0,0,4,0
1,0,0,5,0,0,0,2613.300879631874,0,0,0,0,0,1,0
1,1,1,4,1,0,0,1810.8745706333434,0,0,0,0,0,3,0
0,0,0,3,0,0,0,113.81749703703193,0,0,0,0,0,3,0
1,6,2,3,8,1,1,1879.9136330435513,1,1,1,0,1,7,1
0,1,3,2,3,0,0,1251.7520964231303,0,0,0,0,0,3,0
1,1,0,2,4,0,0,25.435813852576107,0,0,0,0,0,4,0
4,3,2,4,16,1,0,1063.802282069591,1,1,0,0,0,8,1
0,1,2,2,18,0,1,3384.483863446581,1,0,1,0,0,11,1
1,1,0,2,0,0,0,1455.1870580222997,0,0,0,0,0,0,0
0,2,3,3,0,0,0,1544.157042861427,0,0,0,0,0,3,0
1,6,5,2,12,0,1,694.9417366479078,1,0,1,0,1,13,1
1,0,3,6,1,0,0,2157.4241587767624,0,0,0,0,0,2,0
2,6,3,0,12,1,1,1590.383912112482,0,1,1,1,0,5,1
1,1,7,0,9,1,0,3287.229443655063,1,1,0,0,0,5,1
2,3,5,1,16,0,0,4338.514347352509,1,1,0,0,1,16,1
0,0,2,2,3,0,0,1484.8802314816003,0,0,0,0,0,4,0
0,0,0,3,1,0,1,2205.42197452711,0,0,0,0,0,0,0
1,1,2,1,3,0,0,1108.376785739862,0,0,0,0,0,3,0
5,5,4,2,6,0,1,2970.22860673982,0,1,0,0,1,19,1
3,6,4,4,19,0,0,4513.988668434358,0,1,1,0,0,6,1
1,4,4,1,10,0,0,4967.965249730664,1,0,0,1,0,20,1
1,1,0,1,3,0,1,912.6562972226701,0,0,0,0,0,3,0
4,2,7,2,17,0,1,2887.141189198588,0,1,1,1,0,9,1
1,2,3,5,2,0,0,1860.4533905213298,0,0,0,0,0,0,0
0,0,1,4,2,0,1,2041.1191962020907,0,0,0,0,0,0,0
0,2,3,2,0,0,1,1734.687046152233,0,0,0,0,0,1,0
5,5,5,4,7,0,0,1975.2861653967352,0,0,1,0,0,6,1
0,1,2,2,0,0,1,640.9333390455897,0,0,0,0,0,3,0
0,1,3,1,15,1,0,2407.6350785112827,1,0,1,1,0,14,1
1,2,6,4,6,0,0,3267.3090979331287,0,0,0,1,1,10,1
1,1,3,6,1,0,1,2260.682855502092,0,0,0,0,0,2,0
0,3,3,3,5,1,0,2198.457207833918,0,0,0,1,0,17,1
0,2,2,4,14,1,0,2109.4193408584065,0,1,0,1,1,11,1
0,1,2,5,2,0,0,1448.7814475529242,0,0,0,0,0,0,0
0,2,2,2,4,0,0,2456.1264601810617,0,0,0,0,0,1,0
1,1,3,3,0,0,0,1621.2354352662878,0,0,0,0,0,4,0
5,5,5,0,20,1,0,3328.162215222931,0,0,0,0,1,7,1
0,1,0,1,1,0,1,61.05971911462421,0,0,0,0,0,3,0
0,1,2,1,4,0,0,1849.148434372848,0,0,0,0,0,2,0
2,4,4,1,8,0,0,2639.021974504286,0,0,0,0,1,15,1
0,4,6,4,14,0,0,3550.99384712473,1,1,0,0,0,14,1
4,3,8,0,8,1,0,1193.8342972373212,0,1,1,0,0,8,1
0,1,0,1,0,0,1,374.5320068421078,0,0,0,0,0,0,0
0,2,2,6,3,0,1,2292.448082702316,0,0,0,0,0,3,0
0,2,7,4,9,0,0,988.9935197941692,1,1,0,1,1,18,1
1,0,0,2,1,0,1,1475.9747106362336,0,0,0,0,0,0,0
1,6,2,0,19,0,0,2000.1209225146247,1,0,1,0,0,15,1
3,3,2,4,9,0,0,2866.0098908069,0,1,1,1,0,9,1
1,1,1,5,3,0,1,2002.0641897708208,0,0,0,0,0,2,0
1,5,5,2,10,0,1,2882.890067213591,1,0,0,0,0,13,1
0,2,3,3,0,0,0,2733.7860740919205,0,0,0,0,0,1,0
5,6,7,3,15,0,0,3738.9768326987846,0,1,0,1,1,20,1
0,0,2,4,3,0,0,645.7059479471002,0,0,0,0,0,2,0
1,4,4,1,18,1,0,1467.7171714707088,0,1,0,1,1,14,1
3,4,8,1,9,0,1,3097.337562641259,0,1,1,1,1,12,1
1,1,2,5,2,0,0,1752.6359153353337,0,0,0,0,0,1,0
2,6,7,3,14,1,1,4355.647542536554,1,0,0,0,0,5,1
3,6,3,0,20,0,1,83.64315378864114,0,0,0,1,0,14,1
5,1,5,0,6,1,1,891.2464603544798,0,0,0,1,0,15,1
1,2,2,1,15,0,1,3730.968712517157,1,1,1,1,1,7,1
0,1,1,4,3,0,1,2372.967344641778,0,0,0,0,0,1,0
0,0,1,1,2,0,0,1970.9507982562532,0,0,0,0,0,3,0
5,3,6,2,8,0,1,3838.0355779726087,0,0,1,0,1,5,1
3,4,3,2,6,0,1,2053.9687704368243,1,0,0,1,0,8,1
0,2,0,4,1,0,0,1532.718745949068,0,0,0,0,0,1,0
5,2,2,2,15,1,1,4161.449119690811,0,0,0,0,0,7,1
3,4,2,3,13,0,1,4589.907242721471,1,1,0,0,1,14,1
1,3,3,0,12,1,1,2762.2861050009924,1,1,1,0,1,15,1
1,1,2,3,4,0,0,564.2309595504446,0,0,0,0,0,1,0
0,0,0,5,0,0,0,1927.7377895926818,0,0,0,0,0,2,0
0,0,2,3,4,0,0,2630.2916586862184,0,0,0,0,0,2,0
1,0,3,6,0,0,0,113.24137419782095,0,0,0,0,0,1,0
1,0,3,4,1,0,1,1016.8928874740009,0,0,0,0,0,4,0
0,1,2,4,3,0,1,163.5458795806659,0,0,0,0,0,1,0
4,3,8,2,8,1,1,1914.661684620524,1,1,0,0,0,16,1
2,4,4,3,9,1,0,3770.0725885589477,1,0,1,1,0,14,1
5,4,5,4,11,1,1,4294.642562690508,1,0,1,0,1,18,1
0,2,3,6,4,0,0,2201.5226107989333,0,0,0,0,0,3,0
1,2,1,5,0,0,1,115.5079788728892,0,0,0,0,0,0,0
3,3,5,0,9,0,1,4844.123599771349,1,0,0,1,0,11,1
0,2,1,5,0,0,0,2602.1890256607535,0,0,0,0,0,2,0
5,5,4,0,15,0,0,1783.953276190081,1,1,0,1,0,9,1
4,1,2,1,7,1,0,2030.3334212596565,1,0,0,1,0,7,1
4,2,4,3,7,1,1,391.67908371470475,1,1,1,1,1,20,1
3,3,5,3,14,1,1,3558.4718186858736,0,1,1,1,1,7,1
1,2,0,3,3,0,1,255.11491072321596,0,0,0,0,0,4,0
2,2,4,4,19,1,0,3677.748468972461,1,0,0,0,1,15,1
3,6,5,1,15,1,0,2629.476882040101,0,0,0,0,1,15,1
1,1,1,6,2,0,1,913.007775746029,0,0,0,0,0,0,0
1,2,1,3,0,0,1,2898.6215861700557,0,0,0,0,0,3,0
1,6,5,0,15,1,1,882.7474689475993,0,1,1,0,1,15,1
2,3,8,2,15,1,0,4929.156654093918,1,0,1,0,1,6,1
0,1,2,6,3,0,0,1692.8520106235003,0,0,0,0,0,1,0
5,2,5,1,12,1,1,2989.6265099511506,0,0,0,1,1,17,1
5,4,4,4,13,0,0,2146.1076626804306,0,1,1,0,0,16,1
1,1,3,6,4,0,1,2467.4207435770636,0,0,0,0,0,1,0
2,5,7,3,18,1,1,3173.6287793416864,0,1,0,1,0,10,1
1,2,0,2,2,0,0,2576.4640699993843,0,0,0,0,0,4,0
1,1,2,4,1,0,0,342.13257429006256,0,0,0,0,0,2,0
4,4,3,4,18,1,0,4204.5577504563435,0,1,0,1,0,12,1
4,3,6,2,15,1,0,2577.834324585703,1,1,1,0,1,6,1
5,5,5,4,9,0,1,1524.5520391022717,1,1,1,0,1,10,1
0,0,0,3,3,0,0,1054.142532952637,0,0,0,0,0,3,0
2,6,3,3,18,0,1,1182.8342125437346,1,1,1,0,0,14,1
1,2,1,5,2,0,1,2409.5072900769546,0,0,0,0,0,4,0
1,4,2,4,11,0,0,1612.523447193522,0,1,1,0,1,12,1
1,4,2,3,15,0,0,3794.5808666105318,1,0,1,0,0,5,1
0,2,3,3,2,0,1,2412.220955292078,0,0,0,0,0,1,0
0,0,2,6,4,0,0,1791.0816389950262,0,0,0,0,0,0,0
1,1,2,4,4,0,1,1577.0690423962021,0,0,0,0,0,2,0
2,1,3,1,5,0,1,588.3438360775727,0,1,0,1,1,9,1
4,1,6,2,12,0,1,3806.054976929118,1,1,0,0,0,12,1
0,4,7,1,7,1,1,4995.14094428678,0,0,1,0,0,7,1
2,1,6,1,7,0,0,511.8782910447919,1,1,1,1,1,19,1
4,1,6,0,15,1,1,3517.771196554513,1,0,0,0,0,17,1
1,6,8,4,11,1,1,2219.9616041912996,0,0,0,0,1,18,1
0,1,0,5,3,0,1,1012.6056110435989,0,0,0,0,0,4,0
0,0,1,6,0,0,0,891.8133108927559,0,0,0,0,0,0,0
3,1,6,2,12,1,0,161.3741375744981,1,1,0,0,1,9,1
1,2,2,3,0,0,1,921.2978545952585,0,0,0,0,0,4,0
0,0,1,5,2,0,1,2378.451886083496,0,0,0,0,0,2,0
1,5,6,2,5,1,0,1599.1491297326886,1,1,0,1,0,16,1
0,0,3,2,0,0,1,2218.8831651098344,0,0,0,0,0,0,0
1,2,0,5,2,0,1,2079.086968652685,0,0,0,0,0,0,0
0,0,3,4,1,0,0,2694.891777474233,0,0,0,0,0,2,0
0,1,3,5,3,0,0,1622.2366556865368,0,0,0,0,0,2,0
2,5,7,0,16,1,1,3796.910741101618,1,1,1,0,1,9,1
3,4,5,1,7,0,0,3495.871812914172,1,1,1,1,1,16,1
1,0,1,6,3,0,1,824.2284876339261,0,0,0,0,0,1,0
3,2,3,0,16,0,0,1463.1856533968528,0,1,0,0,1,18,1
1,1,2,6,4,0,0,2984.950528322984,0,0,0,0,0,3,0
1,2,2,5,0,0,0,2968.223815824586,0,0,0,0,0,3,0
3,3,2,1,7,0,0,2481.837462148386,0,1,1,1,0,13,1
3,4,2,4,14,0,0,1141.7091831451844,1,1,0,1,0,19,1
0,4,4,4,17,1,1,3999.8708456017193,1,1,0,1,1,5,1
1,2,0,4,2,0,0,2991.5491934204283,0,0,0,0,0,1,0
1,2,0,5,0,0,0,792.5004071768252,0,0,0,0,0,2,0
0,1,0,5,3,0,0,2367.0053415820803,0,0,0,0,0,2,0
0,0,2,2,2,0,1,299.6561654885962,0,0,0,0,0,1,0
0,1,2,2,0,0,0,2931.616601678503,0,0,0,0,0,0,0
2,5,2,1,15,1,0,637.7945779718224,0,1,1,0,0,15,1
1,3,8,4,9,0,0,1807.0820988483626,1,0,1,1,0,15,1
0,1,1,3,0,0,0,994.5576920641934,0,0,0,0,0,4,0
4,5,5,4,19,0,0,3961.599673082134,1,1,0,1,0,8,1
1,0,1,3,2,0,0,1943.9234810229268,0,0,0,0,0,2,0
1,0,0,3,4,0,0,2292.4040292409677,0,0,0,0,0,4,0
5,5,6,0,8,1,0,4573.068911809418,1,1,0,1,1,17,1
4,3,8,1,5,1,0,4483.889732409336,1,1,0,1,0,20,1
5,6,5,1,11,0,1,2829.501838534949,0,1,1,0,1,7,1
0,1,0,3,0,0,0,725.7279034226924,0,0,0,0,0,2,0
5,3,7,1,8,0,1,3482.528134834165,0,0,1,1,1,14,1
1,0,2,2,0,0,0,589.3254153660754,0,0,0,0,0,2,0
2,3,4,4,12,0,1,975.5668987765364,1,0,1,0,0,16,1
0,1,1,5,3,0,1,735.5035546998383,0,0,0,0,0,0,0
1,1,2,6,3,0,0,824.277307046331,0,0,0,0,0,1,0
0,2,3,2,4,0,1,1477.904545491847,0,0,0,0,0,0,0
1,5,6,4,10,1,0,3019.8350322515794,1,1,0,0,1,15,1
4,6,8,2,8,1,0,4006.14885945529,1,1,0,1,0,7,1
4,4,8,2,11,1,1,3093.02213841797,1,0,1,1,1,14,1
2,6,8,0,20,0,0,4545.18913222568,1,0,0,1,1,7,1
1,0,3,1,0,0,1,1869.760128232918,0,0,0,0,0,2,0
1,0,0,4,4,0,0,1747.9032414670198,0,0,0,0,0,3,0
1,1,2,2,2,0,1,1849.4333309568904,0,0,0,0,0,4,0
1,4,4,2,5,0,0,2061.987844227421,1,1,0,1,1,9,1
3,3,2,0,20,0,1,701.8197391879686,0,1,1,1,1,12,1
4,1,7,4,8,1,0,4099.251198081114,1,0,0,1,1,15,1
0,2,0,1,2,0,0,317.48206073943464,0,0,0,0,0,3,0
3,4,7,2,7,0,0,997.591922055976,1,0,0,0,0,9,1
4,2,3,3,15,1,1,1974.978749110496,1,1,1,1,1,12,1
0,1,1,2,4,0,0,31.54362276444338,0,0,0,0,0,4,0
1,6,6,4,9,0,0,188.43208575329308,1,0,0,0,0,6,1
0,0,3,3,0,0,0,2521.334694140468,0,0,0,0,0,2,0
0,0,3,4,1,0,1,2893.1744808674,0,0,0,0,0,4,0
1,2,2,1,1,0,0,1119.660192594795,0,0,0,0,0,2,0
0,1,2,1,1,0,0,2165.1866207533067,0,0,0,0,0,2,0
1,1,0,2,3,0,1,1267.8880528851882,0,0,0,0,0,2,0
4,2,7,2,17,1,1,4573.817751303629,1,0,1,0,0,12,1
4,1,4,4,9,0,0,1201.0298891712396,0,1,0,0,0,20,1
0,0,2,1,0,0,1,1707.5905134244229,0,0,0,0,0,3,0
4,1,2,2,9,1,0,3814.4738872901994,1,0,1,0,0,17,1
0,0,1,1,4,0,0,139.24149312311843,0,0,0,0,0,2,0
2,4,3,3,5,1,0,1344.11003974033,0,0,0,1,0,12,1
3,2,3,3,17,1,0,252.13856147344129,0,0,1,1,0,12,1
3,6,2,2,11,1,1,1819.231187795073,1,0,1,1,1,12,1
5,2,6,1,17,0,0,2243.9654089835262,0,1,0,1,1,11,1
1,2,2,4,0,0,1,2945.2993825988433,0,0,0,0,0,4,0
1,6,3,4,6,1,0,1057.5329383912836,0,0,1,1,0,5,1
4,5,8,3,14,1,1,1952.4654359681226,0,1,0,1,1,6,1
1,1,3,2,3,0,1,2055.9037317644143,0,0,0,0,0,2,0
0,2,2,2,1,0,1,42.72536636338726,0,0,0,0,0,0,0
0,1,2,5,4,0,0,443.5757985251982,0,0,0,0,0,0,0
1,0,2,5,1,0,0,667.6007242286956,0,0,0,0,0,2,0
1,1,1,5,4,0,0,1272.735350309247,0,0,0,0,0,3,0
1,0,0,6,1,0,1,1981.2320618091296,0,0,0,0,0,1,0
4,1,4,3,15,1,1,2294.092845727888,0,0,0,1,1,10,1
